INDX,GSPC,S&P 500
INDX,GDAXI,DAX Index
INDX,SSEC,Shanghai Composite
INDX,MERV,S&P Merval
INDX,FTSE,FTSE 100 Index (UK)
INDX,AORD,Australia All Ordinaries
INDX,BSESN,BSE Sensex 30
INDX,VIX,CBOE Volatility Index
INDX,HSI,Hang Seng Index (Hong Kong)
INDX,GSPTSE,S&P TSX Composite Index (Canada)
INDX,FCHI,CAC 40
INDX,TA100,Tel Aviv 100 Index
INDX,WILREIT,Wilshire US REIT Index
INDX,W5KMCG,Wilshire US Mid Cap Growth
INDX,IBEX,IBEX 35 Index
INDX,W5KLCV,Wilshire US Large Cap Value
INDX,SSMI,Swiss Market Index
INDX,OEX,S&P 100
INDX,RUI,Russell 1000
INDX,XAX,NYSE AMEX Composite
INDX,WILRESI,Wilshire US Real Estate Securities Index
INDX,NZ50,NEW ZEALAND EXCH NZSX 50 FREE IDX
INDX,UTY,PHLX Utility
INDX,CSE,CSE All-Share
INDX,XOI,ARCA Oil
INDX,OSX,PHLX Oil Service
INDX,XAL,ARCA Airline
INDX,W5KSCG,Wilshire US Small Cap Growth
INDX,TWII,Taiwan Weighted
INDX,ATX,Austrian Traded Index in EUR
INDX,NWX,ARCA Networking
INDX,W5KSCV,Wilshire US Small Cap Value
INDX,W5KMCV,Wilshire US Mid Cap Value
INDX,WGREIT,Wilshire Global REIT Index
INDX,SML,S&P Small-Cap 600 Index
INDX,RUT,Russell 2000 Index
INDX,JKSE,Jakarta Stock Exchange Composite Index
INDX,BFX,BEL-20 INDEX
INDX,XBD,ARCA Securities Broker
INDX,RUA,Russell 3000 Index
INDX,XII,ARCA Institutional
INDX,IETP,ISEQ 20 Price
INDX,DRG,ARCA Pharmaceutical
INDX,W5000,Wilshire 5000 Total Market Full Cap
INDX,HGX,PHLX Housing
INDX,MXX,Mexico S&P/BMV IPC
INDX,W5KLCG,Wilshire US Large Cap Growth
INDX,STI,FTSE Straits Times Singapore
INDX,KS11,KOSPI
INDX,AEX,AEX Amsterdam Index
INDX,NYA,NYSE Composite
INDX,XMI,ARCA Major Markets
INDX,BTK,ARCA Biotechnology
INDX,MID,S&P Midcap 400
INDX,HUI,ARCA Gold BUGS
INDX,SOX,Philadelphia Semiconductor Index
INDX,HCX,CBOE S&P Healthcare Index
INDX,XCI,ARCA Computer Technology
INDX,XNG,ARCA Natural Gas
INDX,WGRESI,Wilshire Global Real Estate Securities Index
INDX,N225,Nikkei 225 Index
INDX,MXY,ARCA Mexico
INDX,OSEAX,Oslo All Share
INDX,TYX,Treasury Yield 30 Years Index
INDX,DJI,Dow Jones Industrial Average
INDX,AXPJ,AXPJ
INDX,IRX,13-week Treasury Bill Index
INDX,FVX,Treasury Yield 5 Years Index
INDX,NYI,NYSE International 100 Index
INDX,AXJO,AXJO
INDX,NSEI,Nifty 50
INDX,NYY,NYSE TMT Index
INDX,SPSUPX,S&P Composite 1500 Index
INDX,BVSP,Bovespa
INDX,ISEQ,ISEQ Overall
INDX,JPN,ARCA Japan
INDX,NYL,NYSE World Leaders Index
INDX,TNX,CBOE Interest Rate 10-Year T-Note Index
INDX,NY,NYSE US 100 Index
INDX,OMXSPI,OMX Stockholm
INDX,GVZ,CBOE Gold Volatitity
INDX,IMUS,Dow Jones Islamic Market US
INDX,DJT,Dow Jones Transportation
INDX,DJUSM,Dow Jones Mid-Cap
INDX,IMXL,Dow Jones Islamic Market Titans 100
INDX,XLHK,Dow Jones Hong Kong Titans 30
INDX,DJU,Dow Jones Utility
INDX,DWCOGS,DWCOGS: Dow Jones U.S. Oil & Gas Tota
INDX,DJUSST,Dow Jones Iron & Steel
INDX,PSE,ARCA Technology 100
INDX,RCI,Dow Jones Composite All REIT
INDX,DJUSL,Dow Jones Large-Cap
INDX,DJAT,Dow Jones Asian Titans 50 USD
INDX,DJUS,Dow Jones US
INDX,DWMI,DWMI: Dow Jones U.S. Micro-Cap Tota
INDX,DJUSS,Dow Jones Small-Cap
INDX,OMX,OMXS 30 Index
INDX,STOXX50E,EuroStoxx 50 Index
INDX,FTAS,FTSE All-Share
INDX,FTWIHUNL,FTSE HUngary Index
INDX,FTWITURL,FTSE Turkey Index
INDX,FTWITHAL,FTSE Thailand Index
INDX,FTWIPOLL,FTSE Poland Index
INDX,FTWICZHL,FTSE Czech Republic Index
INDX,IXE,IXE: Select Sector Spdr-energy Index
INDX,IXIC,NASDAQ Composite
INDX,SPEUP,S&P EUROPE 350
INDX,KOSDAQ,Kosdaq Composite Index
INDX,KQ11,KOSDAQ
INDX,OMXC20,OMX Copenhagen 20 Index
INDX,RMZ,MSCI US REIT Index
INDX,PSI20,PSI 20 Stock Index
INDX,DJUSFN,DJUSFN: Dow Jones U.S. Financials Index
INDX,DJTMDI,DJTMDI: Dow Jones Media Titans 30 Index
INDX,DJASDT,DJASDT: Dow Jones Asia Select Dividen
INDX,DJASD,DJASD: Dow Jones Asia Select Dividen
INDX,RTSI,RTSI Index (Russia)
INDX,ATLI,ATLI
INDX,NBI,NASDAQ Biotechnology
INDX,MDAXI,DAX Midcap
INDX,TECDAX,TecDAX
INDX,SDAXI,SDAX
INDX,BKX,KBW Bank
INDX,CEX,Chemicals Index
INDX,EVZ,CBOE Euro Currency Volatility
INDX,KLSE,FTSE Malaysia KLCI
INDX,KRX,KBW Regional Banking
INDX,NDX,Nasdaq 100
INDX,RVX,Cboe Russell 2000 Volatility Index
INDX,STOXX,Europe Stoxx 600
INDX,TR20,Dow Jones Turkey Titans 20
INDX,TR20D,Dow Jones Turkey Titans 20
INDX,VXD,DJIA Volatility
INDX,VXN,CBOE NASDAQ 100 Volatility
INDX,VXO,CBOE OEX Implied Volatility
INDX,VXV,CBOE S&P500 3 M Volitlity
INDX,XAG,Stlmt ID PHLX Gold/Silver Sector
INDX,BXMD,CBOE S&P 500 30-Delta BuyWrite
INDX,LOVOL,CBOE Low Volatility
INDX,PUT,CBOE S&P 500 PutWrite Index
INDX,VVIX,CBOE Vix Volatility
INDX,VXEWZ,CBOE Brazil Etf Volatility
INDX,VXGS,CBOE Equity VIX on Goldman Sachs
INDX,VXTH,CBOE Vix Tail Hedge
INDX,VXXLE,CBOE Energy Sector Etf Volitlity
INDX,XAU,Philadelphia Gold/Silver
INDX,OMXN40,OMX Nordic 40
INDX,OMXC20CAP,Copenhagen 20 CAP
INDX,OMXS30,OMX Stockholm 30
INDX,OMXH25,OMX Helsinki 25
INDX,OMXCMCPI,OMX Copenhagen Mid Cap
INDX,OMXCSCPI,OMX Copenhagen Small Cap
INDX,OMXCLCPI,OMX Copenhagen Large Cap PI
INDX,SP500TR,S&P 500 (TR)
INDX,AXDJ,AXDJ
INDX,AXEJ,AXEJ
INDX,AXFJ,AXFJ
INDX,AXGD,AXGD
INDX,AXHJ,AXHJ
INDX,AXIJ,AXIJ
INDX,AXMD,AXMD
INDX,AXMJ,AXMJ
INDX,AXMM,AXMM
INDX,AXSJ,AXSJ
INDX,AXSO,AXSO
INDX,AXTJ,AXTJ
INDX,AXUJ,AXUJ
INDX,AXXJ,AXXJ
INDX,AXNJ,AXNJ
INDX,TRCCI,Thomson Reuters Equal Weight Co
INDX,AFLI,AFLI
INDX,NMX0530,NMX0530
INDX,NMX0570,NMX0570
INDX,NMX1350,NMX1350
INDX,NMX1730,NMX1730
INDX,NMX1750,NMX1750
INDX,NMX1770,NMX1770
INDX,NMX2350,NMX2350
INDX,NMX2710,NMX2710
INDX,NMX2720,NMX2720
INDX,NMX2730,NMX2730
INDX,NMX2750,NMX2750
INDX,NMX2770,NMX2770
INDX,NMX2790,NMX2790
INDX,NMX3350,NMX3350
INDX,NMX3530,NMX3530
INDX,NMX3570,NMX3570
INDX,NMX3720,NMX3720
INDX,NMX3760,NMX3760
INDX,NMX3780,NMX3780
INDX,NMX4530,NMX4530
INDX,NMX4570,NMX4570
INDX,NMX5330,NMX5330
INDX,NMX5370,NMX5370
INDX,NMX5550,NMX5550
INDX,NMX5750,NMX5750
INDX,NMX6530,NMX6530
INDX,NMX6570,NMX6570
INDX,NMX7530,NMX7530
INDX,NMX7570,NMX7570
INDX,NMX8350,NMX8350
INDX,NMX8530,NMX8530
INDX,NMX8570,NMX8570
INDX,NMX8630,NMX8630
INDX,NMX8670,NMX8670
INDX,NMX8770,NMX8770
INDX,NMX8980,NMX8980
INDX,NMX9530,NMX9530
INDX,UKX,FTSE 100 INDEX
INDX,BEL20,BEL-20 INDEX
INDX,SGLY,S&P GLOBAL 1200
INDX,SPGSCLP,S&P GSCI Crude Oil Index Excess
INDX,SPGSCI,S&P Goldman Sachs Commodity Index
INDX,V2TX,STOXX 50 Volatility VSTOXX EUR
INDX,HSCE,Hang Seng China Enterprise (CEI)
INDX,OVX,CBOE Crude Oil Volatility
INDX,NSEBANK,Nifty Bank
INDX,FTMC,FTSE 250
INDX,FTLC,FTSE 350
INDX,RAG,RUSSELL 3000 GROWTH IDX
INDX,RUO,RUSSELL 2000 GROWTH IDX
INDX,DJARB50,Dow Jones Arabia Titans 50
INDX,DWRSF,Dow Jones US Select Real Estate Securities
INDX,RLG,RUSSELL 1000 GROWTH INDX
INDX,RLV,RUSSELL 1000 VALUE INDEX
INDX,SPGSSINR,S&P N AMER NAT RES
INDX,SPSIOP,S&P OIL GAS EXPLOR PROD
INDX,SPSIRE,S&P RETAIL SELECT INDUST
INDX,SPVQDTR,S&P 500 Dynamic VEQTOR Total Return
INDX,BCOMTR,Bloomberg Commodity TR
INDX,DJUSEN,Dow Jones Oil & Gas
INDX,SXXR,STXE 600 NRt
INDX,OBX,OBX STOCK INDEX
INDX,SCXE,ESTX Sml EUR Pr
INDX,SX3E,ESTX Food&Bevrg EUR Pr
INDX,SX5E,Euro Stoxx 50 Pr
INDX,SX5P,STXE 50 EUR Pr
INDX,SX6E,ESTX Utilities EUR Pr
INDX,SX7E,ESTX Banks EUR Pr
INDX,SX8E,ESTX Technology EUR Pr
INDX,SXAE,ESTX Auto&Parts EUR Pr
INDX,SXDE,ESTX HealthCare EUR Pr
INDX,SXEE,ESTX Oil&Gas EUR Pr
INDX,SXKE,ESTX Telecomm EUR Pr
INDX,SXOE,ESTX Constr&Mtr EUR Pr
INDX,SXPE,ESTX BasicResou EUR Pr
INDX,WIG,WSE WIG INDEX
INDX,SX5T,ESTX 50 EUR NRt
INDX,DXY,US Dollar Index
INDX,FBMKLCI,FTSE Bursa Malaysia KLCI
INDX,FBMEMAS,FTSE Bursa Malaysia EMAS Index
INDX,FBM70,FTSE Bursa Malaysia Mid 70 Index
INDX,FBM100,FTSE Bursa Malaysia 100 Index
INDX,FBMSCAP,FTSE Bursa Malaysia Small Cap Index
INDX,FBMFLG,FTSE Bursa Malaysia Fledgling Index
INDX,990100,MSCI International World Index Price
INDX,JTOPI,JSE FTSE Top 40
INDX,GDOW,The Global Dow USD
INDX,TOPXDV,Topix DV
INDX,JPXNK400,JPX-Nikkei 400
INDX,SX40,STXE Financial Index
INDX,OMXC25,OMX Copenhagen 25 Index
INDX,TOPX,TOPIX
INDX,MXAP,MSCI AC Asia Pacific Index
INDX,NYATR,NYSE Composite Total Return
INDX,XU100,BIST 100
INDX,EWN,iShares MSCI Netherlands Index
INDX,ACWI,MSCI International ACWI Net Index US
INDX,SPMIB,FTSE MIB IDX
INDX,SPI20,SPI 20 PR INDEX
INDX,VIX3M,CBOE S&P 500 3 Month Volatility
INDX,TXBE,S&P/TSX Equal Weight Global Bas
INDX,US2Y,U.S. 2 Year Treasury
INDX,SXIE,STOXX Insurance EUR Price
INDX,MSCIWCONSDISC,MSCI World Consumer Discretionary
INDX,MSCIWCONSSTAP,MSCI World Consumer Staples
INDX,MSCIWENERGY,MSCI World Energy
INDX,MSCIWFIN,MSCI World Financials
INDX,MSCIWHEALTH,MSC World Healthcare
INDX,MSCIWIND,MSCI World Industrials
INDX,MSCIWINFTECH,MSCI World Information Technologie
INDX,MSCIWMAT,MSCI World Materials
INDX,MSCIWUTIL,MSCI World Utilities
INDX,MSCIUSA,MSCI USA
INDX,FSTSM9,STOXX 600 Basis Resources
INDX,FSTOM9,STOXX 600 Food & Beverages
INDX,FSTAM9,STOXX 600 Automobiles & Part
INDX,FSTHM9,STOXX 600 Healthcare
INDX,FSTGM9,STOXX 600 Industrial G&S
INDX,FSTBM9,STOXX 600 Banks
INDX,FSTYM9,STOXX 600 Technology
INDX,FSTUM9,STOXX 600 Utilities
INDX,FSTNM9,STOXX 600 Construction & Mat
INDX,FSTTM9,STOXX 600 Telecommunications
INDX,FSTRM9,STOXX 600 Retail
INDX,FSTCM9,STOXX 600 Chemicals
INDX,FSTZM9,STOXX 600 Personal & Household
INDX,FSTEM9,STOXX 600 Energy
INDX,FSTIM9,STOXX 600 Insurance
INDX,FSTFM9,STOXX 600 Financial Services
INDX,FSTMM9,STOXX 600 Media
INDX,FSTVM9,STOXX 600 Travel & Leisure
INDX,FMCEM9,EURO STOXX Mid
INDX,SMIM,Swiss Mid Price
INDX,CDAXX,DAX Composite Index
INDX,0O7N,SCALE ALL SHARE GR EUR
INDX,RUJ,Russell 2000 Value
INDX,PSEI,THE PHILIPPINE STOCK EXC PSEI INDEX
INDX,SPBLPGPT,S&P/BVL Peru General Index TR
INDX,MSCIEU,MSCI EUROPE
INDX,SSHI,Swiss Performance Index
INDX,SPI2C,SPI 20 TR INDEX
INDX,SP500BDT,S&P 500 Bond Index
INDX,SP5MAIGT,S&P 500/MarketAxess Investment Grade Corporate Bond Index
INDX,3LHE,ESTX 50 CORPORATE BOND TR
INDX,BMYOT,Morningstar US Bond Market Yield-Optimized TR
INDX,IDCOTCTR,ICE U.S Treasury Core Bond TR Index
INDX,NTUICB,Northern Trust Investment Grade US Corporate Bond Index
INDX,NTUHCB,Northern Trust High Yield US Corporate Bond Index
INDX,NTUCCB,Northern Trust Credit-Scored US Corporate Bond Index
INDX,SPXVTR,S&P 500 Value Total Return
INDX,WILREITTR,Wilshire US REIT Total Return I
INDX,UKXDUK,FTSE 100 Total Return Declared
INDX,REIT,DOW JONES EQUITY ALL REIT TOTAL RETURN INDEX
INDX,DWRTFT,Dow Jones U.S. Select REIT Total Return Index
INDX,DWST,Dow Jones U.S. Small-Cap Total Stock Market Total Return Index
INDX,UKXNUK,FTSE 100 Net Dividend Total Return Index
INDX,SP5IGBIT,S&P 500 INVESTMENT GRADE CORPORATE BOND INDEX
INDX,RGBITR,Russian Government Bond Index
INDX,RUCBITR,Moex Corporate Bond Index
INDX,US10Y,U.S. 10 Year Treasury
INDX,SBF120,SBF 120
INDX,DVG,NASDAQ US Dividend Achievers Select
INDX,OSLSFX,OSLO Seafood Index
INDX,VX,S&P 500 VIX Futures
INDX,US30,Dow Jones 30 Futures
INDX,US500,S&P 500 Futures
INDX,RUITR,Russell 1000 Total Return
INDX,SZSC,SZSE Composite
INDX,AXKO,S&P/ASX 300
INDX,SXAR,STOXX Europe 600 Automobiles & Parts NR
INDX,SX7R,STOXX Europe 600 Banks NR
INDX,SXPR,STOXX Europe 600 Basic Resources NR
INDX,SX4R,STOXX Europe 600 Chemicals NR
INDX,SXOOR,STOXX Europe 600 Construction & Materials NR
INDX,SX3R,STOXX Europe 600 Food & Beverage NR
INDX,SXNR,STOXX Europe 600 Industrial Goods & Services NR
INDX,SXIR,STOXX Europe 600 Insurance NR
INDX,SXMR,STOXX Europe 600 Media NR
INDX,SXQR,STOXX Europe 600 Personal & Household Goods NR
INDX,S8730R,STOXX Europe 600 Real Estate Net Total Return
INDX,SXRR,STOXX Europe 600 Retail Net Total Return
INDX,SXTR,STOXX Europe 600 Travel & Leisure NR
INDX,SXFR,STOXX Europe 600 Financial Services NR
INDX,SXDR,STOXX Europe 600 Healthcare NR
INDX,SXER,STOXX Europe 600 Oil & Gas NR
INDX,SX8R,STOXX Europe 600 Technology NR
INDX,SXKR,STOXX Europe 600 Telecommunications NR
INDX,SX6R,STOXX Europe 600 Utilities NR
INDX,N100,EuroNext 100
INDX,AMX,AMX
INDX,ASCX,AMS Small Cap
INDX,BELS,BEL Small
INDX,BELM,BEL Mid
INDX,SP100,S&P 100 Index
INDX,SSE180,SSE 180 Index
INDX,IMOEX,MOEX Russia Index
